Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
55P1	chr1	69381	125312698	13133	-0.0304669
55P1	chr1	143281044	152579938	1189	0.00542055
55P1	chr1	152600729	152614100	3	-23.8341
55P1	chr1	152622831	161236567	2315	0.0489569
55P1	chr1	161238038	182582260	1873	-0.0642938
55P1	chr1	182584078	198752774	1053	-0.192435
55P1	chr1	198754266	248918365	4865	-0.0146753
55P1	chr2	41605	90525254	6751	-0.0650801
55P1	chr2	91283966	242003780	12083	-0.0796254
55P1	chr3	150500	198038669	15195	-0.0829546
55P1	chr4	59429	9172672	1190	0.0681399
55P1	chr4	9368889	190026768	9462	-0.120368
55P1	chr5	140305	6611087	438	0.0683253
55P1	chr5	6611722	38942973	1497	-0.0797703
55P1	chr5	38944443	39141141	59	-0.450265
55P1	chr5	39141641	47365108	391	-0.118837
55P1	chr5	49488671	181260815	9523	-0.0743041
55P1	chr6	150500	32459319	3102	-0.061428
55P1	chr6	32741441	44376475	2189	-0.0445101
55P1	chr6	44377032	69676543	1324	-0.179415
55P1	chr6	69677043	70274774	103	-0.538792
55P1	chr6	70280809	123251911	2991	-0.161031
55P1	chr6	123252411	123331929	16	-1.22002
55P1	chr6	123352524	170583749	3240	-0.156141
55P1	chr7	150500	7066464	892	0.140496
55P1	chr7	7067545	21591577	638	-0.135637
55P1	chr7	21599785	70787433	2716	0.0158493
55P1	chr7	70789745	77360903	676	0.139947
55P1	chr7	77362580	94395103	1085	-0.0944005
55P1	chr7	94395196	94656591	87	-0.498532
55P1	chr7	94663333	96496295	141	-0.0818873
55P1	chr7	96496795	102749176	1203	0.138215
55P1	chr7	102749207	127589621	1519	-0.059997
55P1	chr7	127590063	143478798	1781	0.0620002
55P1	chr7	143623899	159142547	1233	0.0672849
55P1	chr8	150500	145054159	8906	-0.0423817
55P1	chr9	154630	27694530	1388	-0.15913
55P1	chr9	27694530	38570621	1154	-0.0340364
55P1	chr9	38572005	45525913	69	-0.184585
55P1	chr9	60497470	128103841	4918	-0.0934607
55P1	chr9	128105726	138177264	2385	0.0297127
55P1	chr10	49179	79614115	5246	-0.052645
55P1	chr10	79907667	87508238	360	-0.0139452
55P1	chr10	87508333	91924092	363	-0.235721
55P1	chr10	91924592	128101479	3865	-0.0377431
55P1	chr10	128101479	133626306	457	0.144717
55P1	chr11	150500	278600	44	-0.102804
55P1	chr11	280081	2768341	693	0.183862
55P1	chr11	2768841	50877111	4217	-0.0258292
55P1	chr11	51026130	134986058	9081	0.0103761
55P1	chr12	99144	9067839	1498	-0.0291009
55P1	chr12	9068181	9202686	73	-0.318075
55P1	chr12	9203765	9443678	54	0.0506182
55P1	chr12	9595271	133234356	12016	-0.0393015
55P1	chr13	15879861	57017795	2765	-0.103071
55P1	chr13	57171357	102678318	1335	-0.124937
55P1	chr13	102686028	102732100	15	0.122734
55P1	chr13	102732100	102738991	26	0.404665
55P1	chr13	102738991	102748532	36	0.104535
55P1	chr13	102748532	110161371	215	-0.0676999
55P1	chr13	110162227	110503483	92	-0.350042
55P1	chr13	110504145	114326283	429	0.0104283
55P1	chr14	15939217	106874055	7790	-0.0946247
55P1	chr15	16962086	19964155	20	-0.128274
55P1	chr15	19965601	22383925	53	0.92674
55P1	chr15	22542522	84444649	7236	0.023323
55P1	chr15	84603925	101922767	1368	0.0445904
55P1	chr16	47427	38279231	5017	0.102878
55P1	chr16	46324795	90094829	4664	0.0537313
55P1	chr17	156218	8269266	2318	0.0105833
