Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
cn18P	chr1	69381	125312698	13137	-0.092804
cn18P	chr1	143281044	248918365	11299	0.182909
cn18P	chr2	41605	90525254	6755	0.159402
cn18P	chr2	91283966	242003780	12086	0.0027911
cn18P	chr3	150500	93873742	7485	-0.275985
cn18P	chr3	93874242	175626790	5755	0.256637
cn18P	chr3	175627290	177936192	37	0.550681
cn18P	chr3	177936192	187731932	1108	0.864981
cn18P	chr3	187733523	198038669	817	0.722143
cn18P	chr4	59429	9172672	1192	-0.0660441
cn18P	chr4	9368889	190026768	9469	-0.116492
cn18P	chr5	140305	47365108	2385	0.171738
cn18P	chr5	49488671	181260815	9524	-0.261253
cn18P	chr6	150500	32459319	3101	-0.0967726
cn18P	chr6	32741441	170583749	9868	-0.068371
cn18P	chr7	150500	143478798	10751	0.04428
cn18P	chr7	143623899	159142547	1231	-0.051506
cn18P	chr8	150500	145054159	8909	-0.0419491
cn18P	chr9	154630	34723767	1875	-0.259978
cn18P	chr9	34723767	38962485	685	0.158629
cn18P	chr9	38962485	45525913	51	-0.596884
cn18P	chr9	60497470	138177264	7303	0.0306259
cn18P	chr10	49179	39637386	2566	-0.0807891
cn18P	chr10	39933707	133626306	7732	-0.101889
cn18P	chr11	150500	89875073	10223	-0.0176231
cn18P	chr11	90038692	134986058	3817	-0.0636467
cn18P	chr12	99144	9443678	1625	0.0187565
cn18P	chr12	9595271	133234356	12025	0.0118275
cn18P	chr13	15879861	57017795	2767	-0.249337
cn18P	chr13	57171357	114326283	2146	-0.232203
cn18P	chr14	15939217	29576735	1465	0.0850005
cn18P	chr14	29577235	95089995	5080	-0.248312
cn18P	chr14	95090495	106874055	1250	0.148864
cn18P	chr15	16962086	84285874	7309	-0.0391144
cn18P	chr15	84603925	101922767	1370	0.062011
cn18P	chr16	47427	38428223	5019	-0.0645551
cn18P	chr16	46324795	90094829	4667	-0.0448154
cn18P	chr17	156218	37873703	5849	-0.155671
cn18P	chr17	38195871	83135126	7702	-0.00722745
cn18P	chr18	117084	80247350	4285	-0.0654695
cn18P	chr19	110970	25027980	6315	0.0162625
cn18P	chr19	27126811	58571429	7254	-0.100651
cn18P	chr20	87707	64273602	6010	-0.0187078
cn18P	chr21	4942906	46664374	2529	-0.194251
cn18P	chr22	10395631	32479277	2367	0.383726
cn18P	chr22	32483894	50782296	2567	-0.0138541
cn18P	chrX	150500	120875450	7328	-0.13478
cn18P	chrX	121047962	156007790	2318	-0.108898
cn18P	chrY	2786986	2979995	23	-22.6644
cn18P	chrY	2980495	6868464	51	-3.11751
cn18P	chrY	6868729	9255287	45	-14.1301
cn18P	chrY	9547584	12720739	33	-5.6274
cn18P	chrY	12722105	13479319	107	-22.2397
cn18P	chrY	13479511	18546285	53	-7.44679
cn18P	chrY	18546785	22314765	90	-18.8324
cn18P	chrY	22315265	56959891	35	-5.80173
cn4P	chr1	69381	125312698	13137	-0.105655
cn4P	chr1	143281044	248918365	11299	0.00269305
cn4P	chr2	41605	90525254	6755	0.094869
cn4P	chr2	91283966	211947618	8910	-0.0309925
cn4P	chr2	211948118	233964759	2332	-0.22622
cn4P	chr2	233966607	241798562	821	-0.528
cn4P	chr2	241799062	242003780	23	0.0456851
cn4P	chr3	150500	90389053	7462	-0.24088
cn4P	chr3	90389053	148742117	4288	0.0672472
